number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,state
113,0.7610242738948034,2025-10-14 01:37:11.453760,2025-10-14 01:37:25.334530,0 days 00:00:13.880770,0.8653652166603805,6,gbdt,0.662663555433286,0.3632602004377869,1.3103382418446903,0.019763612179186978,7,28,0.04385118910650147,48,COMPLETE
114,0.7599195213013867,2025-10-14 01:37:25.336783,2025-10-14 01:37:43.191772,0 days 00:00:17.854989,0.847279731372798,1,gbdt,0.6953117977130207,0.17640270981804523,1.1880952641728626,0.018248199316592592,8,39,0.04715570205287408,56,COMPLETE
115,0.7600161898222515,2025-10-14 01:37:43.196244,2025-10-14 01:37:56.807250,0 days 00:00:13.611006,0.9304130976959815,6,gbdt,0.653114246627191,0.2817305690654833,0.5072943941743115,0.01630107749986801,9,81,0.04996236573419244,32,COMPLETE
116,0.7619328368674374,2025-10-14 01:37:56.809786,2025-10-14 01:38:11.658051,0 days 00:00:14.848265,0.8564657526600381,7,gbdt,0.6818276372330028,0.12104524414700013,1.0061740470998948,0.022947635788471348,8,36,0.01772331657747039,64,COMPLETE
117,0.7594531744220319,2025-10-14 01:38:11.660378,2025-10-14 01:38:26.057181,0 days 00:00:14.396803,0.8370178289730974,7,gbdt,0.7193953828922932,0.0217735142024246,1.0200488047369851,0.02304879697953155,8,32,0.017524394026566956,64,COMPLETE
118,0.7598433580291248,2025-10-14 01:38:26.060241,2025-10-14 01:38:43.098862,0 days 00:00:17.038621,0.8596927334231602,7,gbdt,0.7056531146336602,0.466924722476714,0.9412235637208834,0.021082992382326502,10,47,0.016102253294392983,64,COMPLETE
119,0.7608830516360516,2025-10-14 01:38:43.101316,2025-10-14 01:39:06.971380,0 days 00:00:23.870064,0.7273943880629171,7,gbdt,0.6874385400469901,0.12089188116818886,1.7025489602706358,0.00922116598238953,9,44,0.0019454495539971972,48,COMPLETE
120,0.7599121619415006,2025-10-14 01:39:06.976210,2025-10-14 01:39:24.819427,0 days 00:00:17.843217,0.8211554768959766,7,gbdt,0.6319474903993053,0.5210075790660122,0.8583329567890324,0.013159753190089817,7,72,0.04885445983179476,40,COMPLETE
121,0.7611219344923417,2025-10-14 01:39:24.821972,2025-10-14 01:39:37.556761,0 days 00:00:12.734789,0.9025786548539295,6,gbdt,0.6798611507597139,0.07549011432959067,1.2531319075582654,0.02404130144677418,8,37,0.014479450336306043,56,COMPLETE
122,0.7607591330740391,2025-10-14 01:39:37.559216,2025-10-14 01:39:55.760385,0 days 00:00:18.201169,0.7050154843751073,2,gbdt,0.667326238349829,0.1573573324996379,1.1330780024399854,0.017484714654010556,8,36,0.012830585414768489,56,COMPLETE
123,0.759913388960691,2025-10-14 01:39:55.764857,2025-10-14 01:40:16.564771,0 days 00:00:20.799914,0.8736981077537274,6,gbdt,0.6609942290871578,0.2512805212108449,1.0808839237514862,0.01569444574490899,9,42,0.005517955748997638,64,COMPLETE
124,0.756983260071275,2025-10-14 01:40:16.567043,2025-10-14 01:40:31.038396,0 days 00:00:14.471353,0.9214304909228784,7,gbdt,0.6469550940647153,0.0542658535533945,0.8970695090290041,0.010742515942621465,3,40,0.04765160668310812,48,COMPLETE
125,0.7596954441109509,2025-10-14 01:40:31.040909,2025-10-14 01:40:45.180557,0 days 00:00:14.139648,0.7433334880110591,6,gbdt,0.8523273799625596,0.40411843037243506,0.9953826251648128,0.02039516129936196,7,53,0.045082256416407424,48,COMPLETE
126,0.7591651708699768,2025-10-14 01:40:45.185167,2025-10-14 01:40:58.136988,0 days 00:00:12.951821,0.8861890303609188,5,gbdt,0.6936608669988387,0.3302429656759667,0.6859394496656802,0.026093205766890924,8,35,0.02543193136883871,56,COMPLETE
127,0.7596892668823114,2025-10-14 01:40:58.139215,2025-10-14 01:41:17.756742,0 days 00:00:19.617527,0.8560959509942001,7,gbdt,0.6742807371894706,0.21421343834929008,0.7997057410369445,0.01026147659481524,4,30,0.04875546519823146,40,COMPLETE
128,0.7603278550977616,2025-10-14 01:41:17.759416,2025-10-14 01:43:04.261481,0 days 00:01:46.502065,0.8679269734884577,7,dart,0.7319742008271326,0.18548072873133695,1.1775011629287735,0.0226974381080556,8,38,0.04657042398605664,32,COMPLETE
129,0.7595658961180541,2025-10-14 01:43:04.266190,2025-10-14 01:43:29.154615,0 days 00:00:24.888425,0.8462103522116651,6,gbdt,0.8854223650771167,0.29938902621459873,1.047287965185713,0.012534881903926622,-1,46,0.010859383514019862,72,COMPLETE
130,0.760882971860747,2025-10-14 01:43:29.156941,2025-10-14 01:43:50.449239,0 days 00:00:21.292298,0.7999838317282365,5,gbdt,0.6861641725899004,0.11616702937391025,0.9588576161709894,0.011669640803927938,9,34,0.00893365782689098,48,COMPLETE
131,0.7613905139858179,2025-10-14 01:43:50.453385,2025-10-14 01:44:06.245635,0 days 00:00:15.792250,0.7728247111944817,7,gbdt,0.8250749343362281,0.3757519741436375,1.1693765885187475,0.0171949638588236,8,41,0.015343999570065733,24,COMPLETE
132,0.760516214124615,2025-10-14 01:44:06.248013,2025-10-14 01:44:22.031016,0 days 00:00:15.783003,0.7555550774326611,7,gbdt,0.7808497804440001,0.4429856064233789,1.2171127708614142,0.018296973265861948,8,44,0.01927913670281833,24,COMPLETE
133,0.7602403671999458,2025-10-14 01:44:22.033705,2025-10-14 01:44:33.516228,0 days 00:00:11.482523,0.7657423558041504,7,gbdt,0.8972058369247652,0.351451737563966,1.1184582165805952,0.019220747753462265,9,38,0.006987068435011597,16,COMPLETE
134,0.7612525691397131,2025-10-14 01:44:33.518492,2025-10-14 01:44:48.500734,0 days 00:00:14.982242,0.749362934333125,6,gbdt,0.9306190891587554,0.49852242832162813,1.6129607830799213,0.016813321786639513,7,32,0.020703473569031725,32,COMPLETE
135,0.7612205269823733,2025-10-14 01:44:48.505312,2025-10-14 01:45:05.901325,0 days 00:00:17.396013,0.7124221237938855,7,gbdt,0.6570904640558388,0.37293462836503316,1.0785383009287293,0.014625920495465782,8,40,0.04318000925233401,40,COMPLETE
