feature	coef	abs_coef	nonzero
H3K9me3_ratio_mean_rank	0.0016912379039654927	0.0016912379039654927	True
H3K27ac_promoter_body_delta	0.001691073833009986	0.001691073833009986	True
H3K36me3_H3K4me1_interaction_rank	-0.0016169789336225654	0.0016169789336225654	True
promoter_entropy_rank	-0.0015649739949752874	0.0015649739949752874	True
H3K9me3_tss_slope_rank	-0.0015394072015294956	0.0015394072015294956	True
H3K9me3_tss_kurtosis	0.001485024212240849	0.001485024212240849	True
DNase_H3K4me1_interaction	0.001396968544634539	0.001396968544634539	True
H3K27me3_tss_kurtosis	0.001293357355891161	0.001293357355891161	True
H3K4me3_H3K27me3_interaction	-0.0012586553300575644	0.0012586553300575644	True
H3K9me3_ratio_std	-0.0011764614927467466	0.0011764614927467466	True
H3K27me3_H3K4me1_interaction_rank	-0.001164279457873627	0.001164279457873627	True
